episode,mean_reward,deck_A_freq,deck_B_freq,deck_C_freq,deck_D_freq
0,-75.3482529207195,0.20709874716109228,0.3223815951067666,0.194296511281666,0.27622314645047513
1,1.668362952862008,0.27986822677194506,0.29505057966043846,0.241481449739472,0.1835997438281445
2,61.892579843395026,0.21330439247153168,0.2722601715775898,0.22701526603976746,0.287420169911111
3,90.9018474632046,0.21305593535010658,0.2670517658592536,0.25274674615217835,0.2671455526384615
4,87.70413845916549,0.2718281078761323,0.3130069840898776,0.2157492556466839,0.1994156523873061
5,62.65600851110557,0.24881360233890584,0.2645090334374362,0.28884360185179014,0.19783376237186778
6,-10.353833761320189,0.2510810791538209,0.163023834119602,0.2985270123029474,0.28736807442362966
7,92.48229889181441,0.4015522364094193,0.23082839576418246,0.1814836608848794,0.18613570694151876
8,130.53984844874654,0.24305420960584234,0.33867402638589034,0.2324816279427065,0.18579013606556077
9,133.72484065379453,0.20693162465963952,0.2046500989404152,0.27528312295876295,0.3131351534411825
10,105.56375932382697,0.3149262510128037,0.1868177525873254,0.17391211735313492,0.32434387904673606
11,137.42499851048484,0.2551037590339625,0.2084266254735756,0.32565049611946395,0.21081911937299794
12,172.17891917261397,0.2759445184145388,0.2761983079885704,0.14180599220606088,0.30605118139082993
13,145.6039477618766,0.3048699309318386,0.20621280824981358,0.2207502347963514,0.2681670260219964
14,289.6327432210726,0.24660386346922908,0.27169331802605196,0.2320588839175904,0.24964393458712855
15,249.11523792669087,0.2875143139258766,0.2668576934853593,0.29477054267727454,0.15085744991148956
16,292.7281755281136,0.19868127139470815,0.2474355297817453,0.1934252552077155,0.360457943615831
17,280.3908218341108,0.24353223085270137,0.2614743431958739,0.2587999615431025,0.23619346440832228
18,296.97873044228476,0.25148536274098754,0.22050050882779434,0.23860740642836617,0.28940672200285195
19,405.08438081036815,0.26400317052589584,0.24707479297417811,0.18875965390337376,0.3001623825965523
20,305.2868474970254,0.28503879277896543,0.2481965463943174,0.22131172706076171,0.24545293376595548
21,316.48379766216163,0.2737135658086171,0.24663683285275886,0.22299764790987558,0.2566519534287484
22,428.8483938545355,0.23119876805863546,0.26095664580524747,0.2731156175211549,0.23472896861496217
23,468.47583667587264,0.2487486856914501,0.23890483032153292,0.29957996107422996,0.2127665229127871
24,406.26771927347266,0.22391221191371707,0.2238640715326588,0.29461270607630796,0.25761101047731616
25,372.10969426769464,0.23149663892474995,0.3048958102037371,0.2166365002445513,0.24697105062696156
26,393.15261823775364,0.25821569841517344,0.2698711475150117,0.20923623976840905,0.2626769143014059
27,428.9975603242082,0.26425872510514475,0.28715044236526577,0.21383819656305642,0.23475263596653306
28,392.63951543357973,0.27201453352097943,0.2867288532750831,0.18644852997732084,0.25480808322661663
29,506.91740035474623,0.2170929574492493,0.25958836535096613,0.30730493661756253,0.2160137405822221
30,462.81249135595556,0.3027395611036174,0.24696554279326555,0.2139014382994233,0.2363934578036938
31,526.5496566549073,0.2498809062499284,0.24116955489188804,0.24230309547539106,0.26664644338279253
32,650.8117324430007,0.23007349326440535,0.24365082088284584,0.28506734933660605,0.24120833651614285
33,651.826364638074,0.21256202232302107,0.25000889067921184,0.28142624536358835,0.25600284163417864
34,632.2210716173447,0.26157693884494926,0.2017425767151118,0.2524801622895896,0.2842003221503493
35,704.7458475497194,0.21813408015586633,0.23238629400803124,0.3122873100055791,0.23719231583052333
36,819.6137869318376,0.2548873780776502,0.2355651672784632,0.2796184511638953,0.22992900347999143
37,701.1487769774546,0.2290846829420011,0.23981000830018045,0.2933362466997632,0.23776906205805526
38,846.0018701517125,0.2836258250074709,0.2071637174023215,0.27982687696255454,0.2293835806276531
39,809.7258705273862,0.20265867107618213,0.20538397298839198,0.3203042818490406,0.2716530740863853
40,963.5741116401275,0.18639376354685844,0.23872973992565308,0.3006884111597314,0.2741880853677571
41,966.3992664408908,0.22215147659323004,0.2250124720135643,0.2971327897312913,0.2557032616619144
42,935.9814392547988,0.22060115419520843,0.22946451824819267,0.31934135573640726,0.2305929718201916
43,1050.1993207065861,0.2042481896571611,0.21592368825978453,0.3046351520052804,0.2751929700777739
44,1025.842106129281,0.21405263800941118,0.21428205296542688,0.3252130862432363,0.2464522227819257
45,1055.688137797643,0.1809775018824042,0.20433688678328749,0.3521165192496455,0.2625690920846629
46,1143.1680484955655,0.20176541354777083,0.17133165105689313,0.3614272805443691,0.2654756548509669
47,1198.8314412513498,0.16959907144972342,0.23298105072706102,0.3496960475481771,0.24772383027503847
48,1198.2536962391266,0.22084591885731403,0.24862581837085246,0.3306353801203342,0.1998928826514993
49,1275.11464845079,0.18618919812971113,0.19910405599472872,0.3762161818608716,0.23849056401468854
50,1275.9235411109123,0.16933849091979505,0.18899821977507678,0.40174001870965215,0.23992327059547597
51,1410.709784087753,0.19716426198736947,0.15737235069633382,0.3896747038197881,0.2557886834965086
52,1356.687555501411,0.21883790756204374,0.15742040577025787,0.3536002616405782,0.27014142502712035
53,1449.1383444116148,0.1905924410592972,0.14971222999439585,0.3981916264289165,0.2615037025173904
54,1472.7055915632275,0.194857913905775,0.1643172107774568,0.39609149199739124,0.24473338331937688
55,1435.3404490295015,0.18192685287054758,0.15949805746070733,0.41139819830797886,0.2471768913607662
56,1418.49849691251,0.1508597066813295,0.18885692168505586,0.3876403534189688,0.27264301821464576
57,1545.38138293565,0.183562576198115,0.19727401342489034,0.41374709720328884,0.20541631317370584
58,1487.4013547673874,0.15898701599751855,0.16195851856737864,0.41067501921818406,0.26837944621691884
59,1579.6452335563476,0.16046412753864472,0.14432005038802612,0.40867656921831585,0.28653925285501325
60,1585.5303091179512,0.18340676878615125,0.16940250433643775,0.4091305323436655,0.2380601945337455
61,1646.545345230349,0.1584639534187961,0.16401743907654065,0.43730576584975345,0.24021284165490972
62,1709.0420544067497,0.15396234520182486,0.13824110487436927,0.45363122428651403,0.25416532563729183
63,1790.9356560833264,0.16780799971618418,0.17506546424609312,0.412028313940886,0.24509822209683663
64,1809.9042495998413,0.12685965018757855,0.191547048274937,0.44316169796203664,0.2384316035754478
65,1776.0569059083914,0.15201023790847443,0.14210679130007858,0.467468798377511,0.23841417241393595
66,1946.4427423905984,0.16422742310688515,0.14324333945160372,0.46048720831570383,0.2320420291258074
67,1878.904250961834,0.13730721835415688,0.16143319663976524,0.47113943017423476,0.23012015483184323
68,2018.2566214789294,0.15005580774526728,0.14066632217366304,0.49100522473136116,0.21827264534970856
69,2000.1757883798691,0.10900018715768928,0.14249675122514582,0.4942051827967961,0.25429787882036875
70,2030.6768279871858,0.12665581899299183,0.1067170823815408,0.4790532205185678,0.2875738781068996
71,2038.1321697349736,0.11598129983689635,0.1393281250057881,0.48778220060109845,0.2569083745562171
72,2132.8022688586384,0.1270389055463767,0.11605868762732559,0.4927584658791205,0.26414394094717725
73,2049.3239687072246,0.12343369313059172,0.09498486180076007,0.5323082690505255,0.24927317601812274
74,2172.7187052041854,0.13788335615090994,0.11418760622861907,0.5046871019104968,0.2432419357099741
75,2216.5951026307825,0.11174350805353685,0.10563340237177875,0.5217563753086424,0.26086671426604213
76,2247.7984685376614,0.12067535314504436,0.11220031880509487,0.5058939882572584,0.2612303397926024
77,2345.539264494142,0.1275031779301061,0.11083662802826245,0.531611519709361,0.23004867433227036
78,2335.683429975399,0.11202250791194425,0.09242257642937397,0.5496835300865027,0.24587138557217902
79,2298.9891512174304,0.07776542969540337,0.09962739384839005,0.5632106968835066,0.2593964795727
80,2415.6218468461557,0.11161881193149238,0.0988914097875509,0.5353275711916684,0.25416220708928833
81,2397.018887639024,0.11333901558735512,0.07417282133375318,0.5623465490393712,0.2501416140395204
82,2452.7391790082843,0.08021587496471042,0.10942292482294669,0.5630785242347592,0.2472826759775837
83,2323.3627367173153,0.06463812293065047,0.0947982427568462,0.596940877884794,0.24362275642770928
84,2327.9667166098484,0.07051615250270442,0.07477569922807033,0.6062369624331703,0.24847118583605504
85,2320.1865221911976,0.12092718713892692,0.07101117232194284,0.5666076309256997,0.24145400961343055
86,2445.344864256283,0.08747748823794994,0.0840213675909281,0.5676413410380976,0.2608598031330244
87,2385.154303866419,0.06055708926011008,0.06967929573187863,0.6163524529970154,0.2534111620109959
88,2372.8982847273887,0.05351344291878399,0.050344277349702975,0.64354193775063,0.25260034198088316
89,2394.6738858913673,0.08197678009407804,0.06737587650983835,0.6073916437725759,0.24325569962350765
90,2365.428496990669,0.038872436757726385,0.06538228024431517,0.6124699826157235,0.2832753003822349
91,2486.9947151705346,0.07301398918120582,0.08815691968240522,0.6084534051273666,0.23037568600902245
92,2440.8757136471336,0.07732027488012388,0.06606089775453416,0.5952731280485788,0.26134569931676327
93,2409.6915924952386,0.08909572225057802,0.05782079941462051,0.6274047025624662,0.22567877577233533
94,2450.467123015885,0.04486225098911485,0.08920254423340253,0.6103736696616048,0.25556153511587787
95,2441.292982754946,0.09288293310625896,0.06868643089480052,0.5834576851763654,0.25497295082257515
96,2467.310744835873,0.031280014974655296,0.032444249527235916,0.685174044312912,0.2511016911851968
97,2451.4917594061158,0.037737201416580886,0.06767070304589988,0.6508057193624096,0.24378637617510965
98,2504.8960761089747,0.04923884818641163,0.07205342552009113,0.6129849074506931,0.26572281884280413
99,2496.5932134885657,0.05006865358645394,0.019646211993275577,0.6865256045776881,0.2437595298425824
